MSA,PeopleInchesHouston-The Woodlands-Sugar Land, TX,3.564149194999999E7
Dallas-Fort Worth-Arlington, TX,3.451010364999995E7
Chicago-Naperville-Elgin, IL-IN-WI,3.1614480879999973E7
New York-Newark-Jersey City, NY-NJ-PA,2.9946105580000006E7
Tallahassee, FL,1.87310129E7
Kansas City, MO-KS,1.5657400319999991E7
Detroit-Warren-Dearborn, MI,1.55372572E7
San Antonio-New Braunfels, TX,1.2979557429999996E7
Tampa-St. Petersburg-Clearwater, FL,1.20822315E7
Minneapolis-St. Paul-Bloomington, MN-WI,1.1943701359999994E7
Austin-Round Rock, TX,1.098747497E7
Tulsa, OK,1.0499236399999995E7
Cleveland-Elyria, OH,1.0400216399999999E7
Denver-Aurora-Lakewood, CO,9073066.869999994
Baltimore-Columbia-Towson, MD,7984132.1
Washington-Arlington-Alexandria, DC-VA-MD-WV,7911461.7
Oklahoma City, OK,6845863.199999992
Indianapolis-Carmel-Anderson, IN,6327060.96
Miami-Fort Lauderdale-West Palm Beach, FL,6108480.0200000005
Rochester, NY,5227431.719999999
Columbus, OH,5093285.239999999
Pittsburgh, PA,4910324.640000001
Los Angeles-Long Beach-Anaheim, CA,4829580.7700000005
Birmingham-Hoover, AL,4717097.499999999
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,4453912.000000001
Memphis, TN-MS-AR,3971402.399999999
Sacramento--Roseville--Arden-Arcade, CA,3843843.5000000014
Fayetteville-Springdale-Rogers, AR-MO,3722583.9999999977
Akron, OH,3665807.6400000006
Providence-Warwick, RI-MA,3442954.099999999
North Port-Sarasota-Bradenton, FL,3441800.759999999
Atlanta-Sandy Springs-Roswell, GA,3383855.22
San Diego-Carlsbad, CA,3272374.89
Charlotte-Concord-Gastonia, NC-SC,2985539.7
Worcester, MA-CT,2826711.72
Syracuse, NY,2716438.739999999
Jackson, MS,2699424.0000000005
Orlando-Kissimmee-Sanford, FL,2668408.8000000003
Cincinnati, OH-KY-IN,2660753.7500000005
Boston-Cambridge-Newton, MA-NH,2645257.14
Buffalo-Cheektowaga-Niagara Falls, NY,2449893.6
Myrtle Beach-Conway-North Myrtle Beach, SC-NC,2430378.72
Omaha-Council Bluffs, NE-IA,2364616.0799999996
Charleston-North Charleston, SC,2287599.9199999995
Seattle-Tacoma-Bellevue, WA,2273380.4800000004
Huntsville, AL,2205358.0800000005
San Francisco-Oakland-Hayward, CA,2094113.2
Louisville/Jefferson County, KY-IN,2064729.1500000004
Killeen-Temple, TX,2017800.0000000002
Topeka, KS,1862454.0399999996
Dayton, OH,1794177.2800000003
Madison, WI,1781632.8599999999
Harrisburg-Carlisle, PA,1778275.7999999998
Toledo, OH,1680042.3599999992
Wichita Falls, TX,1644036.0999999999
Richmond, VA,1638533.4000000004
York-Hanover, PA,1383593.3599999999
Columbia, SC,1232049.6500000001
Corpus Christi, TX,1206420.8399999999
College Station-Bryan, TX,1188920.0699999996
Portland-Vancouver-Hillsboro, OR-WA,1099104.0
Lancaster, PA,1074718.9200000002
Naples-Immokalee-Marco Island, FL,1057117.86
Brownsville-Harlingen, TX,997336.7999999999
New Haven-Milford, CT,966350.56
Des Moines-West Des Moines, IA,948288.3900000004
Rochester, MN,901310.0999999994
Duluth, MN-WI,897040.9199999997
Clarksville, TN-KY,861433.8799999995
Hattiesburg, MS,826292.5799999998
Boulder, CO,818252.2399999995
Bismarck, ND,808003.7999999997
Dothan, AL,800100.4
Deltona-Daytona Beach-Ormond Beach, FL,785807.88
Albuquerque, NM,775462.0000000001
Hagerstown-Martinsburg, MD-WV,768834.0
Lawrence, KS,764089.2799999997
Knoxville, TN,763515.0000000001
Eau Claire, WI,737831.4899999996
La Crosse-Onalaska, WI-MN,713020.4599999998
Jackson, MI,665282.3499999996
Rapid City, SD,657618.1199999998
Wausau, WI,621128.35
Port St. Lucie, FL,601429.3700000001
Lakeland-Winter Haven, FL,591511.68
Jonesboro, AR,582997.3999999998
Bakersfield, CA,582187.44
Iowa City, IA,552226.1899999996
Green Bay, WI,525755.62
Boise City, ID,516695.7600000002
Hot Springs, AR,510678.80999999976
St. Cloud, MN,506652.86000000004
Spokane-Spokane Valley, WA,463060.11
Longview, TX,446358.7399999998
Decatur, IL,425070.9199999998
Hartford-West Hartford-East Hartford, CT,425040.00000000006
Gainesville, GA,400498.55999999976
Sheboygan, WI,369178.8899999999
Bend-Redmond, OR,361877.7100000001
Salisbury, MD-DE,358955.92
Rocky Mount, NC,338206.25999999995
Palm Bay-Melbourne-Titusville, FL,322911.13000000006
Prescott, AZ,299818.17000000004
Valdosta, GA,297346.57999999996
Fond du Lac, WI,294326.26999999996
San Jose-Sunnyvale-Santa Clara, CA,284158.20000000007
Johnstown, PA,273257.1200000001
New Bern, NC,263925.14
Brunswick, GA,260930.4
Florence, SC,257608.75
Reno, NV,242952.08000000002
Norwich-New London, CT,241269.6
Odessa, TX,241022.75000000003
Flagstaff, AZ,235299.03000000006
Ames, IA,231495.6000000001
Lake Havasu City-Kingman, AZ,229767.42000000007
Trenton, NJ,224664.83000000005
Kennewick-Richland, WA,219959.26000000004
Vineland-Bridgeton, NJ,214587.60000000006
Glens Falls, NY,213263.52000000005
Pine Bluff, AR,195876.50999999998
Michigan City-La Porte, IN,193568.04000000007
Daphne-Fairhope-Foley, AL,192697.90000000005
Albany, GA,185730.81999999998
Durham-Chapel Hill, NC,182989.1
Riverside-San Bernardino-Ontario, CA,174003.84
Watertown-Fort Drum, NY,158745.84
Santa Rosa, CA,157385.28
Farmington, NM,154234.80000000002
Oxnard-Thousand Oaks-Ventura, CA,150476.58
Parkersburg-Vienna, WV,138822.00000000003
Barnstable Town, MA,131408.03
Homosassa Springs, FL,128211.20000000003
Altoona, PA,120764.95000000004
Pittsfield, MA,117014.40000000001
Midland, MI,116512.58000000003
Wenatchee, WA,99472.56000000001
Kahului-Wailuku-Lahaina, HI,98155.92
El Centro, CA,97321.4
Sebastian-Vero Beach, FL,87151.54
Salinas, CA,85352.40000000001
East Stroudsburg, PA,74271.12
Burlington, NC,67724.8
Madera, CA,66975.92000000001
San Luis Obispo-Paso Robles-Arroyo Grande, CA,41220.600000000006
Las Vegas-Henderson-Paradise, NV,40015.18
Allentown-Bethlehem-Easton, PA-NJ,33086.840000000004
Hanford-Corcoran, CA,10595.480000000001
Crestview-Fort Walton Beach-Destin, FL,4953.3
Chico, CA,2215.39
Yuba City, CA,1679.48
Vallejo-Fairfield, CA,0.0
Greenville-Anderson-Mauldin, SC,0.0
Sumter, SC,0.0
Panama City, FL,0.0
Beaumont-Port Arthur, TX,0.0
Tucson, AZ,0.0
Greeley, CO,0.0
Phoenix-Mesa-Scottsdale, AZ,0.0
Johnson City, TN,0.0
Sierra Vista-Douglas, AZ,0.0
Nashville-Davidson--Murfreesboro--Franklin, TN,0.0
Colorado Springs, CO,0.0
Burlington-South Burlington, VT,0.0
Augusta-Richmond County, GA-SC,0.0
California-Lexington Park, MD,0.0
Ogden-Clearfield, UT,0.0
